product_id,section,product_name,status,provider,score,matched_name,source_page,image_url,reason,checked_at
nonfood-0086,NONFood,АП Коробка для піци крафт 500 × 500 × 40 (50 шт/пак),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:18:02+00:00
nonfood-0087,NONFood,SP Бупгер крафт Коробка збірна 125 × 125 × 90 без ламінації (50 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:18:43+00:00
nonfood-0088,NONFood,SP Бупгер крафт Коробка збірна 150 × 150 × 115 ламінована (50 шт),no_match,,0.0,,,,generic product match is not specific enough,2026-07-19T18:19:23+00:00
nonfood-0089,NONFood,Підкладка Т 3 33(С 79)чорний 222 × 133 × 33 200 шт,no_match,,0.0,,,,brand does not match (pidkladka),2026-07-19T18:20:04+00:00
nonfood-0090,NONFood,Підкладка Т 4 20(С 70)чорний 178 × 133 × 20 300 шт,no_match,,0.0,,,,brand does not match (pidkladka),2026-07-19T18:20:45+00:00
nonfood-0091,NONFood,LF Соусник PP з відкидною кришкою 45 мл(50 шт/уп),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:21:26+00:00
nonfood-0092,NONFood,АП Соусниця чорна 50 мл(105 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:22:07+00:00
nonfood-0093,NONFood,АП Соусниця прозова з кришкою 30 мл(100 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:22:48+00:00
nonfood-0094,NONFood,АП Пластмасовий виріб Соусниця 50 мл(50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:23:15+00:00
nonfood-0095,NONFood,АП Соусниця з відкидною кришкою 80 мл(50 шт/пак),no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:23:56+00:00
nonfood-0096,NONFood,АП Кришка до соусниці 110 мл(100 шт/пак)ПС-40 К,no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:24:37+00:00
nonfood-0097,NONFood,АП Соусниця прозова 110 мл(100 шт/пак)ПС-40 Д,no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:25:18+00:00
nonfood-0098,NONFood,КП Кришка до салатника РР d 150 (500/750/1000 мл) (50 шт/пак),no_match,,0.0,,,,package size/weight does not match or is missing,2026-07-19T18:26:00+00:00
nonfood-0099,NONFood,КП Кришка до салатника РР d 185 (1100/1300 мл) (50 шт/пак),no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:26:42+00:00
nonfood-0100,NONFood,SP Кришка до Салатник PP d 116 (50 шт/пак),no_match,,0.0,,,,source domain is not suitable,2026-07-19T18:27:24+00:00
